Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Hospitalizations,07/24/2021,65-79,13.1,2.1,,6.2,,,,,,,68551,192768,,9,4,,65,79
Deaths,04/23/2022,18-29,0.0,0.0,0.0,,,,,,,,102148,217941,145505,0,0,0,18,29
Hospitalizations,04/24/2021,All,21.6,2.0,,10.8,,27.8,1.1,,24.3,,1523237,599582,,329,12,,999,999
Cases,12/04/2021,All,451.0,198.7,47.3,2.3,9.5,521.8,162.4,44.1,3.2,11.8,854592,1291144,336442,3854,2565,159,999,999
Deaths,06/12/2021,18-29,0.0,0.0,,,,,,,,,240139,233222,,0,0,,18,29
Cases,12/03/2022,12-17,224.3,78.5,82.6,2.9,2.7,,,,,,32107,82837,49649,72,65,41,12,17
Cases,05/29/2021,30-49,83.5,7.2,,11.6,,,,,,,308939,403804,,258,29,,30,49
Hospitalizations,10/23/2021,12-17,3.2,0.0,,,,,,,,,63459,100436,,2,0,,12,17
Deaths,10/29/2022,30-49,0.0,0.0,0.0,,,,,,,,111704,275402,357009,0,0,0,30,49
Deaths,01/15/2022,50-64,44.4,3.8,1.2,11.7,37.0,,,,,,49592,185039,173645,22,7,2,50,64
Cases,07/31/2021,50-64,133.0,39.5,,3.4,,,,,,,97022,316233,,129,125,,50,64
Deaths,04/30/2022,All,0.2,0.2,0.0,1.0,,0.1,0.4,0.0,0.4,,639197,895770,957293,1,2,0,999,999
Deaths,03/05/2022,12-17,0.0,0.0,0.0,,,,,,,,37541,96947,28018,0,0,0,12,17
Deaths,05/14/2022,5-11,0.0,0.0,,,,,,,,,99163,96038,,0,0,,5,11
Deaths,05/28/2022,5-11,0.0,0.0,0.0,,,,,,,,98425,96640,416,0,0,0,5,11
Hospitalizations,05/21/2022,5-11,0.0,2.1,0.0,0.0,,,,,,,98777,96339,410,0,2,0,5,11
Hospitalizations,07/09/2022,50-64,44.2,6.9,10.3,6.4,4.3,,,,,,38426,129766,242943,17,9,25,50,64
Hospitalizations,07/10/2021,65-79,4.3,1.6,,2.7,,,,,,,70063,190720,,3,3,,65,79
Hospitalizations,11/20/2021,80+,56.4,69.8,16.1,0.8,3.5,,,,,,28355,37244,18641,16,26,3,80,200
Deaths,10/29/2022,50-64,0.0,0.0,0.4,,0.0,,,,,,33487,123004,252762,0,0,1,50,64
Cases,07/17/2021,12-17,39.6,6.8,,5.8,,,,,,,101022,58735,,40,4,,12,17
Hospitalizations,06/18/2022,12-17,2.9,4.3,0.0,0.7,,,,,,,35058,93253,36961,1,4,0,12,17
Hospitalizations,10/30/2021,80+,34.3,17.2,0.0,2.0,,,,,,,29192,46587,8770,10,8,0,80,200
Cases,06/25/2022,50-64,453.8,156.9,237.9,2.9,1.9,,,,,,38785,130653,241692,176,205,575,50,64
Hospitalizations,10/15/2022,65-79,31.5,44.9,24.6,0.7,1.3,,,,,,41226,42362,175045,13,19,43,65,79
Cases,06/11/2022,All,271.3,175.1,270.1,1.5,1.0,315.9,165.5,242.0,1.9,1.3,629144,879118,984306,1707,1539,2659,999,999
Cases,01/29/2022,65-79,335.1,235.9,149.4,1.4,2.2,,,,,,48040,62745,147291,161,148,220,65,79
Hospitalizations,11/20/2021,30-49,28.9,2.0,1.5,14.4,19.3,,,,,,187172,507104,64960,54,10,1,30,49
Cases,05/07/2022,80+,91.9,173.8,175.7,0.5,0.5,,,,,,26109,13232,44963,24,23,79,80,200
Deaths,10/22/2022,50-64,0.0,0.8,0.0,0.0,,,,,,,34049,123594,251908,0,1,0,50,64
Hospitalizations,09/03/2022,12-17,11.9,0.0,2.3,,5.2,,,,,,33627,87066,44334,4,0,1,12,17
Hospitalizations,01/15/2022,5-11,2.4,1.9,,1.3,,,,,,,123151,51288,,3,1,,5,11
Deaths,04/02/2022,All,0.0,0.2,0.0,0.0,,0.0,0.3,0.0,0.0,,646784,906108,936914,0,2,0,999,999
Hospitalizations,12/25/2021,80+,204.5,236.4,41.3,0.9,5.0,,,,,,27383,22839,33889,56,54,14,80,200
Cases,05/08/2021,30-49,240.2,14.8,,16.2,,,,,,,345496,291198,,830,43,,30,49
Cases,03/26/2022,12-17,62.6,38.2,90.5,1.6,0.7,,,,,,36765,96834,30946,23,37,28,12,17
Cases,09/03/2022,50-64,363.1,118.9,156.1,3.1,2.3,,,,,,36907,126175,247915,134,150,387,50,64
Hospitalizations,03/12/2022,12-17,0.0,0.0,0.0,,,,,,,,37228,96957,29260,0,0,0,12,17
Hospitalizations,01/22/2022,30-49,57.0,13.5,7.3,4.2,7.8,,,,,,143735,334416,259934,82,45,19,30,49
Cases,02/12/2022,0-4,132.2,,,,,,,,,,162642,,,215,,,0,4
Deaths,05/21/2022,30-49,0.0,0.0,0.0,,,,,,,,123858,286455,337287,0,0,0,30,49
Cases,12/11/2021,80+,151.3,171.1,56.4,0.9,2.7,,,,,,27763,28055,28382,42,48,16,80,200
Cases,12/04/2021,12-17,698.7,103.9,,6.7,,,,,,,56965,106861,,398,111,,12,17
Cases,05/07/2022,50-64,342.8,133.3,263.5,2.6,1.3,,,,,,40546,135074,235274,139,180,620,50,64
Hospitalizations,12/04/2021,30-49,39.5,4.4,0.0,9.0,,,,,,,179925,472976,104719,71,21,0,30,49
Cases,05/14/2022,All,370.1,264.2,400.7,1.4,0.9,420.0,243.3,352.9,1.7,1.2,635855,891122,965612,2353,2354,3869,999,999
Cases,04/16/2022,30-49,161.3,77.5,258.3,2.1,0.6,,,,,,125835,290450,331402,203,225,856,30,49
Cases,08/13/2022,18-29,299.1,126.8,192.4,2.4,1.6,,,,,,96630,212071,155389,289,269,299,18,29
Hospitalizations,02/12/2022,30-49,12.7,5.9,3.3,2.2,3.8,,,,,,133695,304015,299754,17,18,10,30,49
Deaths,03/12/2022,All,1.2,0.7,0.2,1.7,6.0,1.4,1.1,0.1,1.2,11.9,653944,912119,915502,8,6,2,999,999
Cases,09/17/2022,80+,78.8,201.6,161.7,0.4,0.5,,,,,,25382,11407,47616,20,23,77,80,200
Hospitalizations,05/14/2022,12-17,8.4,0.0,0.0,,,,,,,,35672,94914,34695,3,0,0,12,17
Deaths,09/04/2021,12-17,0.0,0.0,,,,,,,,,74020,80987,,0,0,,12,17
Hospitalizations,06/19/2021,12-17,0.0,0.0,,,,,,,,,113750,24959,,0,0,,12,17
Deaths,04/23/2022,80+,0.0,0.0,0.0,,,,,,,,26199,13482,44521,0,0,0,80,200
Cases,06/18/2022,12-17,125.5,77.2,121.7,1.6,1.0,,,,,,35058,93253,36961,44,72,45,12,17
Deaths,04/17/2021,All,2.2,0.2,,11.0,,2.9,0.1,,31.4,,1609590,480702,,35,1,,999,999
Deaths,04/16/2022,5-11,0.0,0.0,,,,,,,,,100418,94408,,0,0,,5,11
Cases,07/02/2022,0-4,176.5,,,,,,,,,,162642,,,287,,,0,4
Cases,10/09/2021,30-49,189.4,61.4,,3.1,,,,,,,209127,542294,,396,333,,30,49
Hospitalizations,07/09/2022,All,13.3,7.3,12.2,1.8,1.1,17.6,10.1,9.2,1.7,1.9,616376,866687,1001800,82,63,122,999,999
Hospitalizations,09/03/2022,5-11,0.0,0.0,0.0,,,,,,,,93167,84135,17366,0,0,0,5,11
Hospitalizations,06/19/2021,18-29,1.7,0.8,,2.1,,,,,,,235766,241627,,4,2,,18,29
Hospitalizations,07/16/2022,80+,54.5,108.2,64.2,0.5,0.8,,,,,,25674,12019,46759,14,13,30,80,200
Cases,02/05/2022,All,210.5,125.3,132.1,1.7,1.6,227.7,128.0,111.3,1.8,2.0,684723,933029,822898,1441,1169,1087,999,999
Deaths,11/12/2022,All,0.0,0.4,0.2,0.0,0.0,0.0,0.7,0.1,0.0,0.0,555364,836305,1073987,0,3,2,999,999
Hospitalizations,03/19/2022,30-49,6.3,2.0,1.9,3.2,3.3,,,,,,127929,294603,324112,8,6,6,30,49
Cases,03/26/2022,80+,7.6,21.3,29.7,0.4,0.3,,,,,,26376,14072,43712,2,3,13,80,200
Hospitalizations,07/16/2022,12-17,5.8,1.1,2.6,5.3,2.2,,,,,,34559,91467,39201,2,1,1,12,17
Deaths,04/17/2021,80+,23.4,2.8,,8.4,,,,,,,38528,35139,,9,1,,80,200
Hospitalizations,11/12/2022,50-64,49.1,5.7,9.8,8.6,5.0,,,,,,32602,121760,254565,16,7,25,50,64
Deaths,10/08/2022,18-29,0.0,0.0,0.0,,,,,,,,92141,211167,158875,0,0,0,18,29
Hospitalizations,08/13/2022,5-11,1.1,2.3,0.0,0.5,,,,,,,94395,87081,13241,1,2,0,5,11
Hospitalizations,10/02/2021,All,12.9,3.1,,4.2,,19.0,2.4,,8.1,,1001205,1518012,,129,47,,999,999
Cases,02/26/2022,30-49,94.2,30.5,60.6,3.1,1.6,,,,,,130573,298200,313541,123,91,190,30,49
Hospitalizations,05/15/2021,30-49,22.8,0.9,,25.3,,,,,,,333486,336801,,76,3,,30,49
Cases,02/26/2022,65-79,65.9,30.9,40.9,2.1,1.6,,,,,,47038,55059,156429,31,17,64,65,79
Cases,08/20/2022,65-79,222.6,156.1,186.0,1.4,1.2,,,,,,43574,44192,172055,97,69,320,65,79
Hospitalizations,07/17/2021,65-79,18.7,1.6,,11.7,,,,,,,69353,191803,,13,3,,65,79
Cases,10/09/2021,All,143.8,52.8,,2.7,,162.4,42.6,,3.8,,990439,1526485,,1424,806,,999,999
Deaths,07/02/2022,5-11,0.0,0.0,0.0,,,,,,,,96984,91893,6771,0,0,0,5,11
Hospitalizations,03/12/2022,All,3.4,2.1,2.7,1.6,1.3,4.3,2.5,1.8,1.8,2.4,653944,912119,915502,22,19,25,999,999
Hospitalizations,09/24/2022,0-4,2.5,0.0,,,,,,,,,162642,,,4,0,,0,4
Deaths,11/20/2021,80+,14.1,18.8,5.4,0.8,2.6,,,,,,28355,37244,18641,4,7,1,80,200
Cases,09/25/2021,12-17,239.5,29.5,,8.1,,,,,,,68472,91521,,164,27,,12,17
Hospitalizations,04/03/2021,30-49,13.9,1.9,,7.3,,,,,,,502586,107769,,70,2,,30,49
Deaths,02/26/2022,12-17,0.0,0.0,0.0,,,,,,,,37968,96705,26581,0,0,0,12,17
Cases,02/12/2022,5-11,155.4,212.9,,0.7,,,,,,,107457,70472,,167,150,,5,11
Hospitalizations,12/04/2021,50-64,119.3,13.6,3.7,8.8,32.2,,,,,,61204,272163,80004,73,37,3,50,64
Hospitalizations,08/20/2022,50-64,37.6,12.6,5.7,3.0,6.6,,,,,,37192,126834,247033,14,16,14,50,64
Cases,11/19/2022,50-64,307.8,84.2,122.2,3.7,2.5,,,,,,32161,121192,255360,99,102,312,50,64
Cases,09/18/2021,50-64,272.8,54.0,,5.1,,,,,,,79923,329562,,218,178,,50,64
Hospitalizations,04/17/2021,18-29,10.3,3.1,,3.3,,,,,,,330611,64381,,34,2,,18,29
Deaths,03/26/2022,65-79,4.3,3.8,0.6,1.1,7.2,,,,,,46589,52155,160136,2,2,1,65,79
Hospitalizations,09/04/2021,18-29,14.5,0.3,,48.3,,,,,,,192903,291127,,28,1,,18,29
Cases,04/23/2022,65-79,98.2,77.7,128.9,1.3,0.8,,,,,,45824,50175,162945,45,39,210,65,79
Cases,04/09/2022,18-29,168.0,74.5,194.1,2.3,0.9,,,,,,103003,218807,143727,173,163,279,18,29
Hospitalizations,05/28/2022,65-79,28.9,14.6,16.2,2.0,1.8,,,,,,44985,47992,166481,13,7,27,65,79
Deaths,02/19/2022,80+,22.6,13.2,4.7,1.7,4.8,,,,,,26561,15203,42284,6,2,2,80,200
Cases,08/06/2022,65-79,295.0,183.4,237.6,1.6,1.2,,,,,,43730,44700,171318,129,82,407,65,79
Hospitalizations,08/14/2021,12-17,4.7,0.0,,,,,,,,,84445,70986,,4,0,,12,17
Cases,08/21/2021,All,188.8,88.5,,2.1,,216.0,71.8,,3.0,,1085151,1444588,,2049,1278,,999,999
Cases,05/07/2022,All,270.1,198.4,339.2,1.4,0.8,302.4,183.2,300.0,1.7,1.0,637647,893624,961290,1722,1773,3261,999,999
Deaths,09/10/2022,12-17,0.0,0.0,0.0,,,,,,,,33565,86668,44824,0,0,0,12,17
Deaths,06/19/2021,All,1.2,0.2,,6.0,,1.9,0.1,,18.2,,1230537,1248752,,15,2,,999,999
Cases,01/15/2022,80+,952.0,1054.7,491.5,0.9,1.9,,,,,,26995,18394,38659,257,194,190,80,200
Deaths,05/21/2022,65-79,2.2,2.1,1.2,1.0,1.8,,,,,,45158,48434,165798,1,1,2,65,79
Hospitalizations,10/15/2022,30-49,9.7,4.0,2.0,2.4,4.8,,,,,,113866,276402,354439,11,11,7,30,49
Hospitalizations,01/22/2022,12-17,13.5,3.8,11.4,3.6,1.2,,,,,,44377,105594,8766,6,4,1,12,17
Hospitalizations,08/27/2022,5-11,0.0,0.0,0.0,,,,,,,,93457,85264,15779,0,0,0,5,11
Cases,10/01/2022,18-29,133.3,33.6,63.2,4.0,2.1,,,,,,93054,211220,158219,124,71,100,18,29
Hospitalizations,11/26/2022,50-64,28.3,5.8,6.6,4.9,4.3,,,,,,31809,120710,256034,9,7,17,50,64
Deaths,02/19/2022,18-29,0.0,0.0,0.0,,,,,,,,108354,220411,129812,0,0,0,18,29
Cases,09/17/2022,12-17,233.2,76.3,82.1,3.1,2.8,,,,,,33449,86488,45081,78,66,37,12,17
Hospitalizations,04/17/2021,50-64,56.6,2.9,,19.5,,,,,,,183798,103238,,104,3,,50,64
Cases,08/27/2022,12-17,184.0,81.9,92.2,2.2,2.0,,,,,,33698,87900,43390,62,72,40,12,17
Cases,11/06/2021,5-11,177.7,,,,,,,,,,204877,,,364,,,5,11
Hospitalizations,03/12/2022,30-49,4.7,2.4,1.2,2.0,3.9,,,,,,128721,295953,321149,6,7,4,30,49
Cases,04/17/2021,80+,119.4,37.0,,3.2,,,,,,,38528,35139,,46,13,,80,200
Cases,09/18/2021,65-79,128.8,38.9,,3.3,,,,,,,62118,195355,,80,76,,65,79
Deaths,09/11/2021,All,2.1,0.5,,4.2,,3.3,0.4,,8.0,,1038786,1483217,,22,8,,999,999
Cases,04/16/2022,80+,38.1,73.4,83.6,0.5,0.5,,,,,,26240,13626,44277,10,10,37,80,200
Deaths,12/04/2021,65-79,24.5,2.7,0.0,9.1,,,,,,,53009,111677,94706,13,3,0,65,79
Cases,09/10/2022,50-64,411.0,90.6,149.0,4.5,2.8,,,,,,36744,125854,248346,151,114,370,50,64
Deaths,07/24/2021,12-17,0.0,0.0,,,,,,,,,97432,62024,,0,0,,12,17
Hospitalizations,05/22/2021,All,17.2,1.6,,10.8,,23.1,1.1,,21.8,,1328257,1017597,,229,16,,999,999
Cases,10/15/2022,12-17,94.0,45.6,45.3,2.1,2.1,,,,,,32995,85520,46389,31,39,21,12,17
Hospitalizations,09/17/2022,18-29,7.4,0.0,0.0,,,,,,,,94736,211046,157434,7,0,0,18,29
Hospitalizations,09/18/2021,All,16.2,3.1,,5.2,,24.9,2.4,,10.4,,1025055,1494650,,166,47,,999,999
Cases,04/09/2022,80+,15.2,65.3,43.1,0.2,0.4,,,,,,26288,13774,44066,4,9,19,80,200
Hospitalizations,09/10/2022,All,14.9,5.3,8.1,2.8,1.8,19.6,8.1,6.4,2.4,3.0,590467,845672,1038721,88,45,84,999,999
Deaths,12/25/2021,12-17,0.0,0.0,0.0,,,,,,,,53500,109990,789,0,0,0,12,17
Hospitalizations,05/28/2022,12-17,5.7,0.0,0.0,,,,,,,,35376,94389,35465,2,0,0,12,17
Deaths,04/17/2021,12-17,0.0,,,,,,,,,,175046,,,0,,,12,17
Deaths,11/19/2022,80+,12.4,9.4,4.1,1.3,3.0,,,,,,24191,10663,49030,3,1,2,80,200
Cases,04/23/2022,80+,45.8,103.8,125.8,0.4,0.4,,,,,,26199,13482,44521,12,14,56,80,200
Cases,06/25/2022,30-49,360.7,158.6,298.2,2.3,1.2,,,,,,122258,283123,342096,441,449,1020,30,49
Cases,07/24/2021,12-17,70.8,16.1,,4.4,,,,,,,97432,62024,,69,10,,12,17
Cases,10/02/2021,5-11,131.6,,,,,,,,,,210448,,,277,,,5,11
Cases,05/14/2022,5-11,400.4,652.9,,0.6,,,,,,,99163,96038,,397,627,,5,11
Deaths,05/01/2021,80+,30.2,2.3,,13.1,,,,,,,36419,42658,,11,1,,80,200
Deaths,05/08/2021,50-64,8.3,0.0,,,,,,,,,143879,197956,,12,0,,50,64
Deaths,12/18/2021,12-17,0.0,0.0,0.0,,,,,,,,54687,108940,537,0,0,0,12,17
Cases,01/01/2022,50-64,3847.9,1676.3,1013.6,2.3,3.8,,,,,,53795,208012,148877,2070,3487,1509,50,64
Cases,09/18/2021,18-29,232.1,72.2,,3.2,,,,,,,185721,297976,,431,215,,18,29
Cases,02/19/2022,65-79,67.8,40.7,55.0,1.7,1.2,,,,,,47213,56442,154653,32,23,85,65,79
Deaths,01/22/2022,80+,200.8,131.0,15.2,1.5,13.2,,,,,,26887,17556,39574,54,23,6,80,200
Deaths,01/22/2022,12-17,0.0,0.0,0.0,,,,,,,,44377,105594,8766,0,0,0,12,17
Cases,10/29/2022,12-17,146.7,73.1,84.7,2.0,1.7,,,,,,32717,84872,47226,48,62,40,12,17
Deaths,12/04/2021,18-29,0.6,0.0,0.0,,,,,,,,156091,297424,30291,1,0,0,18,29
Cases,08/14/2021,80+,73.2,46.9,,1.6,,,,,,,31421,53356,,23,25,,80,200
Deaths,04/02/2022,12-17,0.0,0.0,0.0,,,,,,,,36560,96512,31770,0,0,0,12,17
Cases,11/26/2022,18-29,164.5,44.6,68.1,3.7,2.4,,,,,,85728,210988,163115,141,94,111,18,29
Cases,08/27/2022,30-49,254.3,116.3,167.8,2.2,1.5,,,,,,119534,278552,348673,304,324,585,30,49
Deaths,01/29/2022,80+,119.5,83.7,22.2,1.4,5.4,,,,,,26772,16735,40498,32,14,9,80,200
Deaths,09/18/2021,50-64,7.5,0.6,,12.5,,,,,,,79923,329562,,6,2,,50,64
Deaths,10/30/2021,80+,10.3,6.4,0.0,1.6,,,,,,,29192,46587,8770,3,3,0,80,200
Deaths,12/18/2021,80+,36.3,23.9,3.2,1.5,11.3,,,,,,27555,25147,31442,10,6,1,80,200
Cases,11/06/2021,65-79,126.2,57.7,16.5,2.2,7.6,,,,,,56245,161156,42324,71,93,7,65,79
Cases,10/02/2021,All,160.6,55.9,,2.9,,183.1,45.4,,4.0,,1001205,1518012,,1608,849,,999,999
Deaths,03/26/2022,30-49,0.0,0.0,0.0,,,,,,,,127335,293696,326133,0,0,0,30,49
Deaths,03/26/2022,80+,0.0,14.2,0.0,0.0,,,,,,,26376,14072,43712,0,2,0,80,200
Hospitalizations,10/08/2022,18-29,9.8,2.4,2.5,4.1,3.9,,,,,,92141,211167,158875,9,5,4,18,29
Hospitalizations,12/18/2021,30-49,60.8,9.5,4.7,6.4,12.9,,,,,,170920,432930,149494,104,41,7,30,49
Hospitalizations,10/22/2022,65-79,44.3,33.4,15.4,1.3,2.9,,,,,,40634,41947,175683,18,14,27,65,79
Hospitalizations,08/13/2022,65-79,48.1,36.0,29.7,1.3,1.6,,,,,,43667,44423,171713,21,16,51,65,79
Hospitalizations,04/10/2021,30-49,17.7,1.6,,11.1,,,,,,,450935,125857,,80,2,,30,49
Hospitalizations,06/05/2021,30-49,8.3,0.2,,41.5,,,,,,,301911,427758,,25,1,,30,49
Deaths,11/19/2022,30-49,0.0,0.0,0.0,,,,,,,,108806,274011,360531,0,0,0,30,49
Hospitalizations,04/16/2022,50-64,7.3,2.2,5.6,3.3,1.3,,,,,,41324,137442,231842,3,3,13,50,64
Hospitalizations,12/25/2021,All,77.1,30.1,14.4,2.6,5.4,110.8,32.3,8.1,3.4,13.7,804573,1165628,521475,620,351,75,999,999
Cases,11/05/2022,18-29,186.0,63.5,96.7,2.9,1.9,,,,,,88156,211122,161382,164,134,156,18,29
Deaths,07/10/2021,12-17,0.0,0.0,,,,,,,,,104214,54529,,0,0,,12,17
Hospitalizations,10/16/2021,30-49,19.0,0.7,,27.1,,,,,,,204903,540770,,39,4,,30,49
Deaths,06/04/2022,80+,7.7,7.9,4.4,1.0,1.8,,,,,,25873,12636,45870,2,1,2,80,200
Cases,12/03/2022,18-29,275.1,83.5,97.1,3.3,2.8,,,,,,85046,210872,163703,234,176,159,18,29
Hospitalizations,06/11/2022,80+,31.0,112.2,60.7,0.3,0.5,,,,,,25834,12479,46100,8,14,28,80,200
Hospitalizations,11/06/2021,65-79,42.7,17.4,4.7,2.5,9.1,,,,,,56245,161156,42324,24,28,2,65,79
Cases,04/30/2022,65-79,159.9,108.5,131.3,1.5,1.2,,,,,,45640,49755,163708,73,54,215,65,79
Cases,07/23/2022,50-64,608.6,194.6,277.8,3.1,2.2,,,,,,37954,128983,244096,231,251,678,50,64
Hospitalizations,07/10/2021,12-17,0.0,0.0,,,,,,,,,104214,54529,,0,0,,12,17
Hospitalizations,09/03/2022,80+,62.8,69.6,82.1,0.9,0.8,,,,,,25492,11494,47489,16,8,39,80,200
Deaths,05/28/2022,80+,7.7,7.8,0.0,1.0,,,,,,,25910,12782,45635,2,1,0,80,200
Deaths,11/06/2021,50-64,5.9,0.0,0.0,,,,,,,,67934,320810,25497,4,0,0,50,64
Hospitalizations,02/19/2022,5-11,0.0,1.3,,0.0,,,,,,,105672,76111,,0,1,,5,11
Deaths,11/20/2021,18-29,0.0,0.0,0.0,,,,,,,,161575,305113,18970,0,0,0,18,29
Deaths,07/16/2022,12-17,0.0,0.0,0.0,,,,,,,,34559,91467,39201,0,0,0,12,17
Hospitalizations,08/07/2021,All,11.5,2.3,,5.0,,15.9,1.8,,9.1,,1119833,1420251,,129,32,,999,999
Cases,05/07/2022,5-11,286.5,521.7,,0.5,,,,,,,99487,95649,,285,499,,5,11
Deaths,02/26/2022,All,2.0,1.3,0.7,1.5,2.9,2.9,2.0,0.4,1.4,6.8,660880,912736,892458,13,12,6,999,999
Cases,08/13/2022,65-79,231.3,162.1,208.5,1.4,1.1,,,,,,43667,44423,171713,101,72,358,65,79
Deaths,05/14/2022,50-64,0.0,0.7,0.0,0.0,,,,,,,40252,134358,236316,0,1,0,50,64
Hospitalizations,05/22/2021,30-49,21.6,1.1,,19.6,,,,,,,319176,371716,,69,4,,30,49
Hospitalizations,04/30/2022,5-11,2.0,0.0,,,,,,,,,99753,95283,,2,0,,5,11
Cases,02/12/2022,18-29,205.0,78.2,128.1,2.6,1.6,,,,,,110243,221292,125696,226,173,161,18,29
Cases,12/11/2021,18-29,612.4,217.9,108.8,2.8,5.6,,,,,,152176,292306,36764,932,637,40,18,29
Cases,08/07/2021,All,156.3,72.9,,2.1,,173.1,59.2,,2.9,,1119833,1420251,,1750,1035,,999,999
Cases,12/11/2021,50-64,794.6,181.3,37.5,4.4,21.2,,,,,,59272,259842,93294,471,471,35,50,64
Cases,04/17/2021,65-79,127.2,20.6,,6.2,,,,,,,92767,126147,,118,26,,65,79
Cases,10/08/2022,12-17,178.2,67.6,50.0,2.6,3.6,,,,,,33110,85837,45997,59,58,23,12,17
Hospitalizations,02/26/2022,65-79,23.4,10.9,10.2,2.1,2.3,,,,,,47038,55059,156429,11,6,16,65,79
Hospitalizations,05/15/2021,12-17,1.3,,,,,,,,,,152312,,,2,,,12,17
Cases,11/06/2021,12-17,335.1,51.3,,6.5,,,,,,,61769,103245,,207,53,,12,17
Cases,08/27/2022,0-4,122.4,2.5,,49.0,,,,,,,162642,,,199,4,,0,4
Deaths,07/10/2021,30-49,0.4,0.0,,,,,,,,,275525,486506,,1,0,,30,49
Deaths,06/18/2022,50-64,0.0,0.8,0.0,0.0,,,,,,,38987,131198,240929,0,1,0,50,64
Deaths,11/06/2021,80+,20.8,6.8,0.0,3.1,,,,,,,28897,44292,11212,6,3,0,80,200
Hospitalizations,10/22/2022,30-49,9.8,2.9,2.8,3.4,3.5,,,,,,112753,275920,355749,11,8,10,30,49
Deaths,04/03/2021,30-49,0.8,0.0,,,,,,,,,502586,107769,,4,0,,30,49
Hospitalizations,11/12/2022,65-79,45.6,29.4,22.0,1.6,2.1,,,,,,39440,40845,177446,18,12,39,65,79
Deaths,10/30/2021,18-29,0.0,0.0,0.0,,,,,,,,169455,309697,7815,0,0,0,18,29
Hospitalizations,08/06/2022,30-49,17.4,4.3,4.9,4.0,3.6,,,,,,120412,279927,346672,21,12,17,30,49
Cases,04/09/2022,30-49,129.8,64.2,221.3,2.0,0.6,,,,,,126336,291399,329899,164,187,730,30,49
Deaths,10/23/2021,50-64,5.6,0.9,0.0,6.2,,,,,,,71255,329366,13414,4,3,0,50,64
Hospitalizations,04/09/2022,65-79,13.0,11.7,5.6,1.1,2.3,,,,,,46206,51182,161335,6,6,9,65,79
Hospitalizations,06/25/2022,12-17,5.7,1.1,2.7,5.2,2.1,,,,,,34955,92937,37404,2,1,1,12,17
Deaths,04/03/2021,12-17,0.0,,,,,,,,,,178757,,,0,,,12,17
Hospitalizations,01/01/2022,12-17,27.0,4.6,0.0,5.9,,,,,,,51896,109775,1915,14,5,0,12,17
Deaths,10/16/2021,30-49,2.9,0.0,,,,,,,,,204903,540770,,6,0,,30,49
Deaths,08/20/2022,18-29,0.0,0.0,0.0,,,,,,,,96295,211769,155907,0,0,0,18,29
Hospitalizations,09/18/2021,65-79,45.1,8.7,,5.2,,,,,,,62118,195355,,28,17,,65,79
Hospitalizations,07/30/2022,0-4,4.3,0.0,,,,,,,,,162642,,,7,0,,0,4
Deaths,07/31/2021,All,1.3,0.1,,13.0,,1.9,0.1,,17.9,,1139864,1406339,,15,2,,999,999
Cases,09/18/2021,30-49,254.4,79.6,,3.2,,,,,,,222101,529978,,565,422,,30,49
Deaths,10/29/2022,12-17,0.0,0.0,0.0,,,,,,,,32717,84872,47226,0,0,0,12,17
Deaths,12/18/2021,50-64,27.9,1.2,0.0,23.2,,,,,,,57408,242569,111836,16,3,0,50,64
Hospitalizations,05/21/2022,12-17,0.0,0.0,0.0,,,,,,,,35509,94657,35083,0,0,0,12,17
Hospitalizations,04/16/2022,All,3.7,2.1,4.3,1.8,0.9,4.5,2.3,3.3,1.9,1.4,642673,901069,947510,24,19,41,999,999
Cases,12/04/2021,65-79,318.8,182.7,30.6,1.7,10.4,,,,,,53009,111677,94706,169,204,29,65,79
Hospitalizations,02/19/2022,All,6.6,5.1,3.6,1.3,1.8,9.1,6.8,2.3,1.3,4.0,666496,915436,873090,44,47,31,999,999
Deaths,06/04/2022,12-17,0.0,0.0,0.0,,,,,,,,35284,94008,35978,0,0,0,12,17
Hospitalizations,02/12/2022,80+,48.8,90.1,35.8,0.5,1.4,,,,,,26614,15536,41889,13,14,15,80,200
Hospitalizations,11/13/2021,18-29,6.1,1.0,0.0,6.1,,,,,,,164412,308022,14047,10,3,0,18,29
Hospitalizations,10/09/2021,80+,33.5,15.1,,2.2,,,,,,,29846,52839,,10,8,,80,200
Deaths,09/03/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,08/27/2022,12-17,0.0,0.0,0.0,,,,,,,,33698,87900,43390,0,0,0,12,17
Cases,08/20/2022,18-29,237.8,83.6,147.5,2.8,1.6,,,,,,96295,211769,155907,229,177,230,18,29
Hospitalizations,05/07/2022,18-29,4.9,3.2,2.0,1.5,2.4,,,,,,101386,217073,146973,5,7,3,18,29
Cases,07/02/2022,30-49,354.2,166.3,299.6,2.1,1.2,,,,,,121981,282618,342843,432,470,1027,30,49
